source,author,publish_date,combined
cna,,2023-10-04T03:40:45Z,"games-nadeem injury rules out javelin showdown with chopra in hangzhouhangzhou, china : pakistan's first athletics world championship medallist arshad nadeem has pulled out of the asian games with a knee injury, foiling a javelin showdown with india's olympic champion neeraj chopra on wednesdaythe games were also hit by a seco…"
fox sports,doug mcintyre,2023-10-12T01:25:59Z,"when usmnt faces germany, bragging rights among club teammates will also be at stakethe links between the us and german national teams run deep, with several sets of club teammates expected to face off in saturday's marquee friendly game"
fortune,"philip anloague, the conversation",2023-09-24T14:52:04Z,"aaron rodgers' season—and career—might be over because of an injury on artificial turf a sports injury expert breaks down why grass could have been saferthe research is somewhat hazy, but rodgers achilles tendon rupture did occur in a part of the body that is correlated with more injuries on artificial turf"
brobible,jacob elsey,2023-09-30T15:34:08Z,"clemson soccer player uses opponents face as a backboard in wild last second game-winning goalthe clemson tigers and virginia tech hokies faced off in an exciting soccer match this week, giving viewers a wild finish on the pitch it looked as if the contest would end in a 1-1 draw before a crazy ricochet on a corner kick gave the tigers the win a cle…"
boston herald,brendan connelly,2023-10-07T04:06:41Z,"soccer notebook: danvers prouty ‘as good as all of themdanvers — soccer runs in georgia proutys blood “weve had a lot of really good players,” said danvers coach jimmy hinchion “weve had an all-american, weve had a lot of all-new englands, girls that have gone on to play div 1 … georgias as good as all of…"
fox sports,,2023-09-29T12:57:33Z,"most famous athlete-musician relationships: travis kelce, taylor swift the latest in a long linetravis kelce and taylor swift are far from the only athlete-musician duo to be romantically linked we go through some of the most famous athlete-musician couples of all time!"
al jazeera english,nick dall,2023-10-11T07:03:43Z,"india-pakistan rivalry: whatever happened to ‘cricket diplomacy?with india and pakistan facing off at the icc world cup, we look at the long history of cricket as a diplomatic tool"
minneapolis star tribune,ron haggstrom,2023-10-16T16:44:40Z,"prep athletes of the week: owen erickson of lakeville north finds his soccer scoring touchowen erickson scored lakeville north's winner in a soccer section semifinal, building on recent success"
independentie,eilish o'regan,2023-10-09T01:35:00Z,"focus on football, hurling and soccer can increase risk of child knee injuries fourfold, new irish research showschildren who specialise in a particular sport such as hurling or soccer have a four-fold greater risk of developing a form of knee injury – but pushy parents may be one reason they refuse to slow down, new research by a leading exercise scientist reveals"
cbs sports,chuck booth,2023-09-27T13:21:00Z,"us open cup final, inter miami vs houston dynamo picks, predictions: messi concerns don't bother expertssignificant questions around messi's health linger but our experts unanimously think miami takes their second trophy"
the conversation africa,"philip anloague, adjunct professor of physical therapy, university of dayton",2023-09-22T12:30:44Z,"aaron rodgers' season-ending achilles tear resurfaces questions about player safety on artificial turftwo days after rodgers injury, the nfl players union called on the league to convert all playing fields to natural grass"
nakedcapitalismcom,yves smith,2023-10-17T09:17:17Z,"‘honey, i bought my football team! the world of sports investmentsconfirming that investors in football (as in the kind played all over the world) have money to burn, because that's what they are probably doing"
the punch,agency report,2023-09-21T01:00:29Z,miami put four past toronto despite messis early exitinter miami shrugged off an injury concern to lionel messi to boost their major league soccer playoff hopes with a 4-0 thrashing of toronto fc on wednesday messi returned to the starting line-up after skipping saturdays 5-2 defeat at atlanta due to muscle…
forbes,,2023-09-26T22:13:39Z,tel and krätzig shine as bayern munich beat münster 4-0talents mathys tel and frans krätzig delivered arguments for more playing time at bayern munich
